p2p_domain,vid,pid,gid,login_time_year,login_time_month,login_time_day,login_time_hour,login_time_minute,login_time_sec
t8,D004,0036,0036,2020,08,01,09,14,21
t8,D004,0084,0084,2020,08,01,09,14,21
t8,D004,0085,0085,2020,08,01,09,14,21
t8,D004,0086,0086,2020,08,01,09,14,21
t8,D004,0095,0095,2020,08,01,09,14,21
t8,D004,0096,0096,2020,08,01,09,14,21
t8,D004,0097,0097,2020,08,01,09,14,21
u6,C029,F301,F106,2020,08,01,10,44,22
u6,D004,0054,0054,2020,08,01,10,44,22
u6,D004,0055,0055,2020,08,01,10,44,22
u6,D004,0058,0058,2020,08,01,10,44,22
u6,D004,0059,0059,2020,08,01,10,44,22
u6,D004,0064,0064,2020,08,01,10,44,22
u6,D004,0065,0065,2020,08,01,10,44,22
u6,D004,0066,0066,2020,08,01,10,44,22
u6,D004,0067,0067,2020,08,01,10,44,22
i1,4643,F300,F100,2020,08,01,10,50,58
i1,A157,0001,0001,2020,08,01,10,50,58
i1,A157,0001,0002,2020,08,01,10,50,58
i1,B021,0001,0001,2020,08,01,10,50,58
i1,B021,0003,003B,2020,08,01,10,50,58
i1,B021,1001,1001,2020,08,01,10,50,58
i1,B021,1001,1002,2020,08,01,10,50,58
30,D004,0010,0010,2020,08,01,10,51,19
30,D004,0012,0012,2020,08,01,10,51,19
30,D004,0018,0018,2020,08,01,10,51,19
30,D004,0032,0032,2020,08,01,10,51,19
30,D004,0049,0049,2020,08,01,10,51,19
30,D004,0083,0083,2020,08,01,10,51,19
30,D004,0087,0087,2020,08,01,10,51,19
30,D004,0088,0088,2020,08,01,10,51,19
30,D004,0095,0095,2020,08,01,10,51,19
30,D004,8888,8888,2020,08,01,10,51,19
g2,D004,0002,0002,2020,08,01,11,33,33
g2,D004,0003,0003,2020,08,01,11,33,33
g2,D004,0004,0004,2020,08,01,11,33,33
g2,D004,0005,0005,2020,08,01,11,33,33
g2,D004,0007,0007,2020,08,01,11,33,33
u5,C029,F301,F105,2020,08,01,09,58,59
u5,D004,0053,0053,2020,08,01,09,58,59
u5,D004,0056,0056,2020,08,01,09,58,59
u5,D004,0057,0057,2020,08,01,09,58,59
u5,D004,0060,0060,2020,08,01,09,58,59
u5,D004,0061,0061,2020,08,01,09,58,59
u5,D004,0062,0062,2020,08,01,09,58,59
d2,0002,0001,0001,2020,08,01,09,29,20
d2,0002,0004,0000,2020,08,01,09,29,20
d2,0002,0005,0000,2020,08,01,09,29,20
d2,0002,0111,0001,2020,08,01,09,29,20
d2,0002,0111,0002,2020,08,01,09,29,20
d2,0002,0111,0003,2020,08,01,09,29,20
d2,0002,0111,0004,2020,08,01,09,29,20
